Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22uF,C45783
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C24, C25, C27, C28, C29, C3, C30, C31, C32, C33, C34, C4, C5, C6, C7, C8, C9",0402,30,100nF,C1525
"C21, C26, C42, C43",CP_EIA-3216-18_Kemet-A,4,10u,C7171
"C35, C36, C37, C38",0402,4,22p,C1555
"C39, C40, C46",0402,3,10p,C32949
C41,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,100nF,
C44,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,10n,
C45,0402,1,100p,C1546
"D1, D2",D_SOD-323,2,1N5819WS,C64886
"D10, D19, D21, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,12,LED_Dual_Bidirectional,
"D11, D12, D13, D14, D15, D16, D17, D18, D20, D22",D_SOD-323,10,1N4148WS,C2128
J1,PinHeader_2x05_2.54mm_Europower,1,POWER,
J10,AudioJack_PJ301M-12,1,Links_1to3_OUT1,
J11,AudioJack_PJ301M-12,1,Links_1to3_IN,
J12,AudioJack_PJ301M-12,1,Links_1to3_OUT2,
J13,AudioJack_PJ301M-12,1,Links_1to3_OUT3,
J14,AudioJack_PJ301M-12,1,Links_2to2_IN1,
J15,AudioJack_PJ301M-12,1,Links_2to2_IN2,
J16,AudioJack_PJ301M-12,1,Links_2to2_OUT1,
J17,AudioJack_PJ301M-12,1,Links_2to2_OUT2,
J18,AudioJack_PJ301M-12,1,Links_3to1_IN1,
J19,AudioJack_PJ301M-12,1,Links_3to1_IN2,
J2,AudioJack_PJ301M-12,1,OUT_1,
J20,AudioJack_PJ301M-12,1,Links_3to1_OUT,
J21,AudioJack_PJ301M-12,1,Links_3to1_IN3,
J22,AudioJack_PJ301M-12,1,Kinks_IN,
J23,AudioJack_PJ301M-12,1,Kinks_OUT_INV,
J24,AudioJack_PJ301M-12,1,Kinks_OUT_HW,
J25,AudioJack_PJ301M-12,1,Kinks_OUT_FW,
J26,AudioJack_PJ301M-12,1,Kinks_OUT_MAX,
J27,AudioJack_PJ301M-12,1,Kinks_IN_A,
J28,AudioJack_PJ301M-12,1,Kinks_IN_B,
J29,AudioJack_PJ301M-12,1,Kinks_OUT_MIN,
J3,AudioJack_PJ301M-12,1,IN_1,
J30,AudioJack_PJ301M-12,1,Kinks_OUT_Noise,
J31,AudioJack_PJ301M-12,1,Kinks_OUT_S&H,
J32,AudioJack_PJ301M-12,1,Kinks_S&H_IN,
J33,AudioJack_PJ301M-12,1,Kinks_S&H_TRIG,
J34,AudioJack_PJ301M-12,1,OUT_+10V,
J35,AudioJack_PJ301M-12,1,IN_±5V,
J36,AudioJack_PJ301M-12,1,IN_+10V,
J37,AudioJack_PJ301M-12,1,OUT_±5V,
J38,AudioJack_PJ301M-12,1,IN,
J39,AudioJack_PJ301M-12,1,OUT_x1.25,
J4,AudioJack_PJ301M-12,1,OUT_2,
J40,AudioJack_PJ301M-12,1,OUT_x1.6,
J41,AudioJack_PJ301M-12,1,OUT_x2,
J5,AudioJack_PJ301M-12,1,IN_2,
J6,AudioJack_PJ301M-12,1,OUT_3,
J7,AudioJack_PJ301M-12,1,IN_3,
J8,AudioJack_PJ301M-12,1,OUT_4,
J9,AudioJack_PJ301M-12,1,IN_4,
"Q1, Q2",SOT-23,2,MMBT3904,C20526
Q3,SOT-23,1,MMBFJ310,
"R1, R100, R117, R129, R14, R15, R24, R25, R34, R35, R4, R44, R45, R51, R59, R67, R71, R9, R90",0402,19,1K,C11702
"R10, R102, R103, R105, R106, R108, R109, R11, R110, R111, R112, R113, R114, R116, R118, R12, R120, R126, R13, R16, R17, R18, R19, R2, R20, R21, R22, R23, R26, R27, R28, R29, R30, R31, R32, R33, R36, R37, R38, R39, R40, R41, R42, R43, R46, R52, R53, R54, R55, R56, R60, R62, R63, R64, R66, R72, R75, R77, R78, R94",0402,60,100K,C25741
"R101, R104, R5, R6, R7, R8",0402,6,10K,C25744
"R107, R115, R122, R125, R128, R47, R49, R50, R57, R58, R65, R70, R76, R81, R83, R86, R95, R96",0402,18,100R,C25076
R119,0402,1,150K,C25755
"R121, R123",0402,2,120K,C25750
R124,0402,1,75K,C25798
R127,0402,1,49.9K,C25897
"R3, R61",0402,2,33K,C25779
R48,0402,1,10M,C26082
"R68, R69, R73, R74, R79, R80",0402,6,200K,C25764
"R82, R84, R85, R87",0402,4,220K,C25767
"R88, R89, R97, R98, R99",0402,5,1M,C26083
R91,0402,1,470K,C25790
R92,0402,1,4.7K,C25900
R93,0603,1,240K,C4197
"RV1, RV2, RV3, RV4",Potentiometer_RV09,4,B10K,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",ToggleSwitch_2MS1-T2-B4-M2-Q-E-S,8,SW_SPDT,
TP1,TestPoint_Pad_1.0x1.0mm,1,+10V_TP,
TP2,TestPoint_Pad_1.0x1.0mm,1,+5V_TP,
TP3,TestPoint_Pad_1.0x1.0mm,1,-5V_TP,
"U1, U10, U11, U12, U2, U3, U4, U5, U6, U7, U8, U9",TSSOP-14_4.4x5mm_P0.65mm,12,TL074,C4370424
"U13, U14, U15",SOT-23,3,CJ431,C3113
