Designator,Mid X,Mid Y,Rotation,Layer
C1,198.4,-75.7,0.0,bottom
C10,226.6,-94.0,0.0,bottom
C11,166.6,-101.2,0.0,bottom
C12,186.6,-101.2,0.0,bottom
C13,206.6,-101.2,0.0,bottom
C14,226.6,-101.2,0.0,bottom
C15,166.6,-112.0,0.0,bottom
C16,186.6,-112.0,0.0,bottom
C17,206.6,-112.0,0.0,bottom
C18,226.6,-112.0,0.0,bottom
C19,166.6,-128.2,0.0,bottom
C2,166.6,-83.2,0.0,bottom
C20,186.6,-128.2,0.0,bottom
C21,206.6,-128.2,0.0,bottom
C22,226.6,-128.2,0.0,bottom
C23,166.6,-139.0,0.0,bottom
C24,186.6,-139.0,0.0,bottom
C25,206.6,-139.0,0.0,bottom
C26,226.6,-139.0,0.0,bottom
C27,226.6,-123.6,0.0,bottom
C28,216.6,-66.5,0.0,bottom
C29,226.6,-116.6,0.0,bottom
C3,186.6,-83.2,0.0,bottom
C30,216.6,-59.5,0.0,bottom
C31,216.6,-117.9,0.0,bottom
C32,219.1,-121.6,270.0,bottom
C33,161.6,-90.6,270.0,bottom
C34,181.6,-90.6,270.0,bottom
C35,201.6,-90.6,270.0,bottom
C36,221.6,-90.6,270.0,bottom
C37,171.6,-108.6,270.0,bottom
C38,173.8,-135.6,270.0,bottom
C39,213.6,-66.5,180.0,bottom
C4,206.6,-83.2,0.0,bottom
C40,216.6,-56.0,180.0,bottom
C41,206.6,-60.8,0.0,bottom
C42,206.6,-63.0,180.0,bottom
C43,226.0,-61.2,90.0,bottom
C44,216.6,-140.3,0.0,top
C45,211.6,-122.6,0.0,bottom
C46,232.6,-104.6,90.0,bottom
C5,226.6,-83.2,0.0,bottom
C6,194.8,-75.7,0.0,bottom
C7,166.6,-94.0,0.0,bottom
C8,186.6,-94.0,0.0,bottom
C9,206.6,-94.0,0.0,bottom
D1,198.4,-73.0,90.0,bottom
D10,191.6,-96.8,0.0,top
D11,186.6,-142.7,180.0,bottom
D12,186.6,-144.7,0.0,bottom
D13,200.1,-107.9,270.0,bottom
D14,203.25,-120.1,0.0,bottom
D15,203.25,-122.1,0.0,bottom
D16,193.1,-107.9,90.0,bottom
D17,199.9,-120.1,0.0,bottom
D18,199.9,-122.1,0.0,bottom
D19,201.6,-96.8,0.0,top
D2,194.8,-73.0,270.0,bottom
D20,214.1,-130.2,270.0,bottom
D21,211.6,-96.8,0.0,top
D22,211.6,-120.4,90.0,bottom
D23,221.6,-96.8,0.0,top
D24,231.6,-96.8,0.0,top
D3,166.6,-80.8,0.0,top
D4,186.6,-80.8,0.0,top
D5,206.6,-80.8,0.0,top
D6,226.6,-80.8,0.0,top
D7,181.6,-96.8,0.0,top
D8,161.6,-96.8,0.0,top
D9,171.6,-96.8,0.0,top
J1,196.6,-62.3,0.0,bottom
J10,161.6,-118.76,0.0,top
J11,161.6,-105.26,0.0,top
J12,181.6,-105.26,0.0,top
J13,161.6,-132.26,0.0,top
J14,181.6,-118.76,0.0,top
J15,181.6,-145.76,0.0,top
J16,161.6,-145.76,0.0,top
J17,181.6,-132.26,0.0,top
J18,171.6,-105.26,0.0,top
J19,171.6,-118.76,0.0,top
J2,171.6,-87.26,0.0,top
J20,171.6,-132.26,0.0,top
J21,171.6,-145.76,0.0,top
J22,191.6,-105.26,0.0,top
J23,191.6,-118.76,0.0,top
J24,191.6,-132.26,0.0,top
J25,191.6,-145.76,0.0,top
J26,201.6,-132.26,0.0,top
J27,201.6,-105.26,0.0,top
J28,201.6,-118.76,0.0,top
J29,201.6,-145.76,0.0,top
J3,161.6,-87.26,0.0,top
J30,216.6,-74.3,0.0,bottom
J31,211.6,-132.26,0.0,top
J32,211.6,-145.76,0.0,top
J33,211.6,-105.26,0.0,top
J34,211.6,-118.76,0.0,top
J35,221.6,-118.76,0.0,top
J36,221.6,-105.26,0.0,top
J37,221.6,-132.26,0.0,top
J38,221.6,-145.76,0.0,top
J39,231.6,-105.26,0.0,top
J4,191.6,-87.26,0.0,top
J40,231.6,-118.76,0.0,top
J41,231.6,-132.26,0.0,top
J42,231.6,-145.76,0.0,top
J5,181.6,-87.26,0.0,top
J6,211.6,-87.26,0.0,top
J7,201.6,-87.26,0.0,top
J8,231.6,-87.26,0.0,top
J9,221.6,-87.26,0.0,top
Q1,204.8,-57.7,270.0,bottom
Q2,208.3,-57.7,270.0,bottom
Q3,214.2,-135.6,180.0,bottom
R1,216.6,-116.4,180.0,bottom
R10,161.6,-86.6,90.0,bottom
R100,201.6,-131.1,180.0,bottom
R101,209.6,-122.0,90.0,bottom
R102,209.6,-99.3,90.0,bottom
R103,209.6,-123.9,270.0,bottom
R104,209.6,-120.0,90.0,bottom
R105,201.59,-132.3,0.0,bottom
R106,221.6,-108.6,270.0,bottom
R107,211.6,-108.6,270.0,bottom
R108,219.1,-124.5,90.0,bottom
R109,219.6,-99.3,90.0,bottom
R11,159.4,-86.6,270.0,bottom
R110,220.0,-108.6,90.0,bottom
R111,212.9,-108.6,90.0,bottom
R112,214.2,-108.6,90.0,bottom
R113,221.6,-131.6,90.0,bottom
R114,221.6,-135.5,270.0,bottom
R115,220.4,-131.6,270.0,bottom
R116,220.4,-135.5,90.0,bottom
R117,221.6,-149.1,270.0,bottom
R118,219.2,-135.5,90.0,bottom
R119,231.6,-104.6,90.0,bottom
R12,159.4,-91.6,90.0,bottom
R120,231.6,-108.6,270.0,bottom
R121,233.6,-108.6,90.0,bottom
R122,232.6,-108.6,90.0,bottom
R123,229.8,-113.3,270.0,bottom
R124,231.6,-131.6,90.0,bottom
R125,232.8,-131.6,270.0,bottom
R126,233.9,-138.5,270.0,bottom
R127,231.6,-135.6,270.0,bottom
R128,232.8,-135.6,90.0,bottom
R129,231.6,-149.1,270.0,bottom
R13,171.6,-86.6,90.0,bottom
R130,229.6,-99.3,90.0,bottom
R14,166.6,-67.6,90.0,bottom
R15,171.6,-90.6,270.0,bottom
R16,173.8,-89.6,270.0,bottom
R17,173.8,-91.6,90.0,bottom
R18,179.4,-89.6,270.0,bottom
R19,183.6,-74.3,270.0,bottom
R2,221.6,-121.6,270.0,bottom
R20,181.6,-86.6,90.0,bottom
R21,179.4,-86.6,270.0,bottom
R22,179.4,-91.6,90.0,bottom
R23,191.6,-86.6,90.0,bottom
R24,186.6,-67.6,90.0,bottom
R25,191.6,-90.6,270.0,bottom
R26,193.8,-89.6,270.0,bottom
R27,193.8,-91.6,90.0,bottom
R28,199.4,-89.6,270.0,bottom
R29,203.6,-74.3,270.0,bottom
R3,231.6,-121.6,270.0,bottom
R30,201.6,-86.6,90.0,bottom
R31,199.4,-86.6,270.0,bottom
R32,199.4,-91.6,90.0,bottom
R33,211.6,-86.6,90.0,bottom
R34,206.6,-67.6,90.0,bottom
R35,211.6,-90.6,270.0,bottom
R36,213.9,-89.6,270.0,bottom
